============================================================
Quench simulation started: 2026-07-03T11:25:36.815
N_sites = 200, T_max = 10.0, dt = 0.05, bond_dim = 1500
Pre-quench parameters: v=1.0, w=1.0, Δ=0.0, V=0.5
Post-quench parameters: v=1.0, w=1.0, Δ=0.0, V=1.0
============================================================
Preparing interacting ground state (t < 0)...
Initial Ground State Energy: -162.59723088758437 (DMRG took 76.05 seconds)
Initial max bond dimension: 166
Constructing TEBD gates for quench...
Starting time evolution...
t = 4.05, S_EE = 1.219, F = 0.2895, χ = 513 / 1500, step_time = 16.8595 s, elapsed_time = 859.1558 s, estimated_remaining_time = 1246.8237 s
t = 4.1, S_EE = 1.2204, F = 0.2894, χ = 526 / 1500, step_time = 18.2716 s, elapsed_time = 893.8155 s, estimated_remaining_time = 1270.7257 s
t = 4.15, S_EE = 1.2217, F = 0.2894, χ = 539 / 1500, step_time = 19.3933 s, elapsed_time = 932.359 s, estimated_remaining_time = 1298.6429 s
t = 4.2, S_EE = 1.2231, F = 0.2893, χ = 552 / 1500, step_time = 21.1081 s, elapsed_time = 971.6404 s, estimated_remaining_time = 1326.0034 s
t = 4.25, S_EE = 1.2245, F = 0.2893, χ = 567 / 1500, step_time = 20.7809 s, elapsed_time = 1013.0773 s, estimated_remaining_time = 1354.6964 s
t = 4.3, S_EE = 1.2258, F = 0.2892, χ = 582 / 1500, step_time = 25.9332 s, elapsed_time = 1059.8465 s, estimated_remaining_time = 1388.7644 s
t = 4.35, S_EE = 1.2272, F = 0.2892, χ = 597 / 1500, step_time = 22.1698 s, elapsed_time = 1102.7724 s, estimated_remaining_time = 1416.06 s
t = 4.4, S_EE = 1.2286, F = 0.2891, χ = 612 / 1500, step_time = 22.8205 s, elapsed_time = 1147.0328 s, estimated_remaining_time = 1443.457 s
t = 4.45, S_EE = 1.2299, F = 0.2891, χ = 627 / 1500, step_time = 23.7348 s, elapsed_time = 1194.0764 s, estimated_remaining_time = 1472.6942 s
t = 4.5, S_EE = 1.2313, F = 0.289, χ = 643 / 1500, step_time = 26.0734 s, elapsed_time = 1244.4637 s, estimated_remaining_time = 1504.2968 s
t = 4.55, S_EE = 1.2327, F = 0.289, χ = 658 / 1500, step_time = 28.526 s, elapsed_time = 1298.3962 s, estimated_remaining_time = 1538.3172 s
t = 4.6, S_EE = 1.234, F = 0.289, χ = 674 / 1500, step_time = 27.2112 s, elapsed_time = 1353.5222 s, estimated_remaining_time = 1571.8322 s
t = 4.65, S_EE = 1.2354, F = 0.2889, χ = 690 / 1500, step_time = 29.6615 s, elapsed_time = 1412.0089 s, estimated_remaining_time = 1607.2867 s
t = 4.7, S_EE = 1.2368, F = 0.2889, χ = 706 / 1500, step_time = 31.1484 s, elapsed_time = 1473.2233 s, estimated_remaining_time = 1643.8071 s
t = 4.75, S_EE = 1.2382, F = 0.2889, χ = 723 / 1500, step_time = 32.9268 s, elapsed_time = 1537.613 s, estimated_remaining_time = 1681.7642 s
t = 4.8, S_EE = 1.2395, F = 0.2889, χ = 741 / 1500, step_time = 36.0044 s, elapsed_time = 1606.5617 s, estimated_remaining_time = 1722.4991 s
t = 4.85, S_EE = 1.2409, F = 0.2888, χ = 759 / 1500, step_time = 35.7341 s, elapsed_time = 1677.4408 s, estimated_remaining_time = 1763.0245 s
